Porcine reproductive and respiratory syndrome virus strain SXSZ-2020, complete genome
Porcine reproductive and respiratory syndrome virus strain SD-QD-2101, complete genome
Porcine reproductive and respiratory syndrome virus isolate JSYZ1909-16, complete genome
Porcine reproductive and respiratory syndrome virus strain TS01, complete genome
Porcine respiratory and reproductive syndrome virus strain PRRSV2/CN/GDDX/2018, complete genome
Porcine reproductive and respiratory syndrome virus strain FJ-Chen GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Deng GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Fu GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Huang GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Liu GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Qiu GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Wang GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus strain FJ-Yang GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2015-1 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2015-2 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2015-3 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-1 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-2 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-3 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-4 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-5 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-6 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-7 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-8 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-9 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-10 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-11 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-12 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-13 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-14 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-15 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-16 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-17 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-18 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-19 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-20 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-21 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-22 GP5 (ORF5) gene, complete cds
